start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
,6047,,7076,871,
,6194,,6047,1011,
,6047,,6013,612,
,6047,,6100,651,
,6095,,6047,1288,
,6194,,7034,466,
,6204,,6020,901,
,6107,,7080,553,
,6047,,7076,831,
,6047,,6095,839,
,6099,,6070,410,
,6097,,6099,323,
,6097,,6097,24,
,7076,,6097,124,
,7076,,6062,363,
,6047,,7076,876,
,7076,,6067,601,
,6050,,6406,1153,
,7034,,6050,1416,
,6194,,7034,385,
,6100,,6070,487,
,6194,,6100,436,
,6194,,6194,16,
,6047,,7080,165,
,6100,,7080,361,
,6194,,6100,485,
,6194,,6047,822,
,6194,,7080,757,
,6070,,7076,920,
,7014,,6047,1215,
,6067,,7076,684,
,6097,,6067,534,
,7076,,6070,784,
,7080,,7076,614,
,6047,,7080,186,
,6107,,6047,891,
,6047,,7076,859,
,6107,,6070,717,
,7076,,7080,616,
,6036,,7082,1223,
,7034,,6052,989,
,6194,,7034,854,
,7076,,6097,194,
,6097,,7069,651,
,6070,,7076,759,
,6100,,6070,539,
,7076,,6100,256,
,6070,,6005,576,
,7076,,7080,698,
,6097,,6070,718,
,6406,,6406,2149,
,6194,,7034,486,
,6211,,6143,542,
,6216,,7038,351,
,7076,,6070,746,
,6047,,7076,849,
,6194,,6070,959,
,6047,,7076,853,
,7076,,6070,732,
,7076,,7080,617,
,6107,,7076,151,
,7032,,6176,440,
,6903,,7076,1258,
,7076,,6070,758,
,6047,,7076,951,
,6194,,6070,915,
,6107,,7076,152,
,6194,,6070,993,
,7076,,6107,161,
,6733,,6097,539,
,7076,,7080,653,
,6047,,7076,940,
,6097,,6070,734,
,6047,,7080,196,
,7076,,7080,693,
,6903,,6073,653,
,6307,,7076,1580,
,6315,,6194,2130,
,7014,,6315,638,
,6047,,7076,818,
,6194,,6070,854,
,6047,,7083,667,
,6194,,6070,953,
,6047,,7076,893,
,6194,,6070,899,
,6216,,6193,455,
,6375,,7055,323,
,6194,,6375,555,
,6194,,7080,689,
,6194,,6067,805,
,6047,,7076,942,
,6194,,6070,888,
,6194,,6070,919,
,6194,,7034,483,
,6047,,7076,835,
,7076,,6070,734,
,6047,,6064,369,
,6194,,6070,758,
,6047,,7076,941,
,7076,,6070,690,
,7033,,6095,989,
,6047,,7080,186,
,6194,,6070,895,
,6047,,7076,854,
,6194,,6070,837,
,6194,,6036,1597,
,7076,,6194,336,
,6047,,7069,217,
,7076,,7080,674,
,6047,,6085,688,
,7076,,6070,746,
,6047,,7076,893,
,6194,,7080,798,
,7076,,6064,458,
,6047,,7076,1019,
,7076,,7080,631,
,7076,,7076,17,
,6176,,6194,2067,
,6060,,6095,713,
,6067,,7076,744,
,6067,,6067,42,
,6047,,6067,343,
,6047,,6067,265,
,7076,,6070,775,
,7076,,7080,730,
,7076,,6067,679,
,6047,,7076,847,
,7076,,7080,646,
,6195,,6194,1766,
,6107,,7076,179,
,6047,,7076,831,
,6095,,7080,764,
,6194,,6095,276,
,6194,,6194,1680,
,7076,,7070,1886,
,6047,,6432,1238,
,6194,,6070,885,
,6204,,7076,950,
,6193,,6070,982,
,6194,,7080,815,
,6047,,7076,897,
,7076,,6204,927,
,6047,,7076,830,
,6194,,6047,1103,
,6216,,6248,180,
,6070,,6205,253,
,6047,,6073,362,
,6217,,6214,756,
,6047,,6733,348,
,7076,,6070,823,
,6047,,6248,852,
,6194,,7080,829,
,6134,,6381,285,
,6047,,6194,1018,
,6047,,7076,960,
,6070,,7076,759,
,6047,,6194,819,
,6047,,7076,823,
,6047,,6194,927,
,6047,,6097,893,
,6047,,7069,211,
,6072,,7076,624,
,6194,,6036,2716,
,6047,,6067,314,
,6203,,7076,821,
,6047,,6067,275,
,6047,,6413,298,
,6070,,6097,1069,
,6097,,6047,880,
,6097,,7080,657,
,6047,,7076,819,
,7076,,7069,728,
,7076,,7080,873,
,6047,,7076,958,
,7076,,6073,732,
,6047,,7076,948,
,6047,,6064,405,
,6070,,6209,656,
